rps,ll_win,ll_podium,ll_points,spearman,round,model,n
0.10549548148148148,0.03851253373784149,0.2483921668852455,2.1303877564831946,0.7852941176470588,5,baseline: grid,16
0.09916666550925926,0.04208862524355971,0.29079757039478815,0.47039137016602467,0.8205882352941177,5,baseline: standings,16
0.1422304136574074,0.03711263878257982,0.2877230192145796,0.9065427668392425,0.5676470588235295,5,baseline: last race,16
0.1038135890583044,0.1497478262426625,0.3541176036221083,0.9533609735723738,0.788235294117647,5,model: forward,16
0.09520183572858795,0.11289403813275167,0.3042671066682267,0.9008513653324453,0.8294117647058824,5,model: forward+grid,16
0.0969823640625,0.06962122273852309,0.2757217509306442,0.6446446703243844,0.788235294117647,5,model: attrition+grid,16
0.09474614608579282,0.10693389102830146,0.3033883222285686,0.8020253091580896,0.8352941176470589,5,model: contaminated+grid,16
0.12323087060185185,0.020346073413053067,0.24685803483732305,0.6904358699687941,0.6588235294117648,6,baseline: grid,16
0.1528322564814815,0.05222345329373555,0.3197736663726451,2.240402655603729,0.5588235294117647,6,baseline: standings,16
0.13893372314814814,0.06845909851794134,0.240769865196887,0.6630895271960746,0.5029411764705883,6,baseline: last race,16
0.15323208528935184,0.1354124110045728,0.4050740406676522,1.1135186181795773,0.5647058823529412,6,model: forward,16
0.14272022143084492,0.0018028645005169063,0.29069842952618047,1.2065879043432954,0.6558823529411765,6,model: forward+grid,16
0.13132593700274883,0.009521763180408335,0.35871791014373733,0.8506878293484775,0.6264705882352941,6,model: attrition+grid,16
0.14251299918070026,0.0016470803180631847,0.29748338515622885,1.2065514795563062,0.6558823529411765,6,model: contaminated+grid,16
0.1254008339460784,0.18794828511222805,0.17098907370033897,0.730857088270352,0.6446078431372549,7,baseline: grid,17
0.17436105310457514,0.1635126816661615,0.39387485938988265,2.147234282118889,0.41421568627450983,7,baseline: standings,17
0.1856597062908497,0.16453048948089694,0.6420279336620925,2.103928894412508,0.2377450980392157,7,baseline: last race,17
0.15702284865004595,0.170368495577844,0.3249601455378809,0.6104250938169417,0.4852941176470589,7,model: forward,17
0.1167541563863358,0.08806268028277024,0.15861829829978433,0.4154165143550747,0.6691176470588236,7,model: forward+grid,17
0.12726266260135824,0.15854139931328037,0.11443507514099698,0.5525168252947967,0.6323529411764707,7,model: attrition+grid,17
0.11689045506178514,0.0908969534362092,0.15541509327930958,0.4222592049592016,0.6740196078431374,7,model: contaminated+grid,17
0.08545094462599856,0.04903100073342153,0.30660552506654937,0.2816162262322533,0.9215686274509803,8,baseline: grid,18
0.11311649019607842,0.1833929935343241,0.31194598959344044,0.43249319555165927,0.7997936016511867,8,baseline: standings,18
0.12508336129266523,0.15654733754008682,0.4397409118033504,0.47160558659743784,0.7110423116615068,8,baseline: last race,18
0.12106113564848858,0.20752902249447766,0.36180320984942793,0.31613333311750613,0.7564499484004128,8,model: forward,18
0.11725467086624002,0.10112802810067667,0.4883636884649846,0.2573569605195192,0.7296181630546955,8,model: forward+grid,18
0.08614883371493737,0.04308317787722738,0.4120588448025826,0.2068143842669062,0.8782249742002064,8,model: attrition+grid,18
0.11550585809232028,0.09888272429239423,0.4957203394301842,0.24604941615962073,0.7358101135190918,8,model: contaminated+grid,18
0.14283997397660816,0.1482092432162819,0.33918106943450466,1.86577262584692,0.6015037593984961,9,baseline: grid,20
0.16757903172514618,0.20911035866339295,0.33259743353375515,0.8696182748998424,0.47067669172932325,9,baseline: standings,20
0.16185538347953216,0.2206382033741066,0.3281589379331421,0.7634193215434297,0.4947368421052631,9,baseline: last race,20
0.16216141480546414,0.18911577424523582,0.3324459344652636,0.8212639273483913,0.41503759398496237,9,model: forward,20
0.1638439201335892,0.19403423041934248,0.44522567883090625,0.6841445868076722,0.32481203007518794,9,model: forward+grid,20
0.13322751670056654,0.11581481636176316,0.2611013812277492,0.6193363426184879,0.5548872180451127,9,model: attrition+grid,20
0.16154603492900219,0.1909118246750219,0.4419453853473915,0.6790620647235841,0.31729323308270674,9,model: contaminated+grid,20
0.09675389262508122,0.0662937699391406,0.1672575271987358,0.45743714490199955,0.8105263157894737,10,baseline: grid,19
0.10669818924626383,0.10495305348196216,0.30271889990584006,0.4726101591261768,0.9087719298245613,10,baseline: standings,19
0.13587863027940222,0.25142158138656534,0.42659147498332506,0.5338189816797536,0.4719298245614035,10,baseline: last race,19
0.0844244272835445,0.16909023344363971,0.2807306104581664,0.4001615735820747,0.8614035087719297,10,model: forward,19
0.08193548304499675,0.07154650798319753,0.13968665563422641,0.4401123522440049,0.8719298245614034,10,model: forward+grid,19
0.06691981707967837,0.03585731675050902,0.09273876943701449,0.3906777890134773,0.9087719298245613,10,model: attrition+grid,19
0.08225109838074643,0.07185707316912648,0.1412229262574595,0.44397643557106237,0.8719298245614034,10,model: contaminated+grid,19
0.08739167592592594,0.061752456447920906,0.2929411190472379,0.3456610245625109,0.9175438596491228,11,baseline: grid,19
0.11744756936322288,0.2113782558541203,0.3170160642996219,0.4524997383954034,0.7403508771929824,11,baseline: standings,19
0.11929177891487981,0.21512594412736785,0.29336391326313166,0.5011536097107901,0.6964912280701754,11,baseline: last race,19
0.08884531745553119,0.17256388197653358,0.29556015146516673,0.2719318894396749,0.8228070175438595,11,model: forward,19
0.08336376478882392,0.02947861246187159,0.33495542009237966,0.291033908165614,0.882456140350877,11,model: forward+grid,19
0.07625262900990902,0.022488411924518014,0.32252043181777407,0.17537727555439328,0.8929824561403509,11,model: attrition+grid,19
0.08410815554885477,0.028266079622316875,0.33907016993282996,0.2899861671603738,0.8701754385964912,11,model: contaminated+grid,19
