model,rps,ll_win,ll_podium,ll_points,spearman,races
model: attrition+grid,0.10258853716738547,0.06498972973517562,0.26247059478578555,0.491436445202989,0.7545607716770919,7
baseline: grid,0.10950909616900366,0.08172762322855535,0.25317493088141935,0.9288811051808606,0.7628382932120216,7
model: contaminated+grid,0.11393724961131456,0.08419937522020475,0.31060651737599604,0.5842728681840341,0.7086292411701522,7
model: forward+grid,0.11443915033991693,0.08556385169730386,0.3088307539309555,0.5993576559668037,0.7090325603925781,7
model: forward,0.12436583117010437,0.17054680642642372,0.33638452800938085,0.6409707727223628,0.6705619089741159,7
baseline: standings,0.13302875080371818,0.13809420310532233,0.3241034976414248,1.0121785251231035,0.6733172216254922,7
baseline: last race,0.1441332852946978,0.15911932760136355,0.37976800800807264,0.8490798125684623,0.5260762199616689,7
